Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Sowing month,Harvesting month,E,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Silt loam,Initial year of NT practice ( or first year of experiment if missing),Years since NT started (yrs),Residue management of previous crop in NT (details),Water applied in NT,Fertilization NT_No,Fertilization NT_Yes,Irrigation NT_No,Irrigation NT_Yes,Yield of NT
55.2,-119.38,117,1995,73,0,5,9,380.641,19.59802,3.13068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1992,4,109,0,0.0,1.0,0.0,1.0,4417.0
59.9,17.0,117,2004,73,27,5,9,312.565,20.7831,4.52367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,2,109,0,0.0,1.0,0.0,1.0,6246.0
59.9,17.0,117,2007,73,27,5,9,305.349,21.01425,5.29742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,5,109,0,0.0,1.0,0.0,1.0,8160.0
59.81,17.66,91,2007,73,27,5,9,302.808,21.57994,5.50431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2003,5,109,0,0.0,1.0,0.0,1.0,6691.0
59.9,17.0,117,2004,123,27,10,6,265.394,17.9991,-8.99913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2003,2,109,0,0.0,1.0,0.0,1.0,2549.0
59.81,17.66,91,2004,123,27,10,6,263.033,18.32103,-9.08629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2003,2,109,0,0.0,1.0,0.0,1.0,1898.0
30.9,75.8,105,2006,98,0,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2005,2,50,0,1.0,0.0,0.0,1.0,1617.0
30.9,75.8,105,2006,98,0,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2005,2,91,0,1.0,0.0,0.0,1.0,1513.0
30.9,75.8,105,2006,98,123,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2005,2,50,0,0.0,1.0,0.0,1.0,2523.0
30.9,75.8,105,2006,98,95,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2005,2,50,0,0.0,1.0,0.0,1.0,2480.0
30.9,75.8,105,2006,98,95,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2005,2,50,0,0.0,1.0,0.0,1.0,1980.0
30.9,75.8,105,2006,98,95,7,11,446.7680882,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2005,2,91,0,0.0,1.0,0.0,1.0,1943.0
