Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
42.94,-92.57,59,1996,75,0,-0.0118,5,10,463.279,69.321,27.33077,3.66085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3571.0
42.94,-92.57,59,1996,75,0,-0.0431,5,10,463.279,69.321,27.33077,3.66085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3688.0
42.94,-92.57,59,1997,75,0,-0.0101,5,10,494.706,-37.206,28.0141,4.40098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2873.0
42.94,-92.57,59,1997,75,0,-0.0018,5,10,494.706,-37.206,28.0141,4.40098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2849.0
42.94,-92.57,59,1995,75,0,0.0539,5,10,502.598,-64.498,30.40158,3.53012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2281.0
42.94,-92.57,59,1995,75,0,0.0732,5,10,502.598,-64.498,30.40158,3.53012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2240.0
44.31,-96.79,92,2005,73,42,-0.123,5,10,541.433,-37.933,29.15936,3.41993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8659.0
44.31,-96.79,92,2005,73,42,0.1625,5,10,541.433,-37.933,29.15936,3.41993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3845.0
44.31,-96.79,92,2006,73,42,0.0501,5,10,542.5349577,-170.335,31.3676935,0.722333847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8442.0
44.31,-96.79,92,2006,73,42,0.5216,5,10,542.5349577,-170.335,31.3676935,0.722333847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,4893.0
41.8,1.12,86,1996,24,222,-0.0774,12,6,481.439,-139.239,25.40583,2.79712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3358.0
41.8,1.12,86,1997,24,222,-0.0417,12,6,482.803,-281.703,28.46006,2.45313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,4767.0
41.8,1.12,86,1998,24,222,1.341,12,6,484.196,-243.496,27.16659,0.12838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1557.0
41.5,0.13,86,1997,24,222,-0.5395,12,6,415.484,-214.784,29.88347,4.20414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1672.0
41.5,0.13,86,1998,24,222,-0.3395,12,6,416.74,-132.54,28.36756,2.29477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1888.0
41.77,1.27,86,1996,24,222,0.0683,12,6,498.336,-57.136,23.70359,2.70182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3863.0
41.77,1.27,86,1997,24,222,-0.1134,12,6,496.581,-210.381,25.38628,2.38834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,3317.0
41.77,1.27,86,1998,24,222,0.2816,12,6,493.124,-153.424,24.61128,0.71023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,4229.0
-23.48,148.15,91,1996,4,221,0.2428,11,5,772.809,-272.109,33.11866,15.08812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1660.0
-23.48,148.15,91,1996,40,221,0.0096,11,5,772.809,-272.109,33.11866,15.08812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,2921.0
-23.48,148.15,91,1991,73,221,0.0402,5,11,521.408,-334.408,34.03646,6.68356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1542.0
30.9,75.8,110,2004,29,41,-0.0476,12,5,549.7760813,-332.576,38.63408833,6.036801246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4200.0
30.9,75.8,110,2004,29,62,-0.0667,12,5,549.7760813,-332.576,38.63408833,6.036801246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4500.0
30.9,75.8,110,2005,29,62,-0.05,12,5,553.8121462,-386.412,39.83815839,4.642376807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4000.0
30.9,75.8,110,2005,29,41,-0.0541,12,5,553.8121462,-386.412,39.83815839,4.642376807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,3700.0
30.9,75.8,110,2006,12,41,-0.0638,12,5,553.9888433,-287.089,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4700.0
30.9,75.8,110,2006,12,62,-0.0612,12,5,553.9888433,-287.089,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4900.0
30.9,75.8,110,2006,29,41,-0.0889,12,5,553.9888433,-287.089,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4500.0
